"km_isoline";"number_Area";"number_Area_merged";"number_Sites";"percent_Sites";"increase_Sites";"diff_Sites";"Area";"increase_Area";"diff_Area"
0,5;79;7;376;15,811606391926;NA;NA;108;NA;NA
1;141;116;637;26,7872161480235;261;NA;374;266;NA
1,5;259;127;643;27,0395290159798;6;-255;860;486;220
2;498;174;684;28,7636669470143;41;35;2191;1331;845
2,5;703;220;964;40,53826745164;280;239;6191;4000;2669
3;948;171;1393;58,578637510513;429;149;12558;6367;2367
3,5;1224;122;1700;71,488645920942;307;-122;19847;7289;922
4;1407;104;1927;81,0344827586207;227;-80;27226;7379;90
4,5;1447;89;2028;85,2817493692178;101;-126;34486;7260;-119
5;1495;67;2092;87,973086627418;64;-37;40962;6476;-784
5,5;1535;65;2146;90,2439024390244;54;-10;46981;6019;-457
6;1536;57;2189;92,0521446593776;43;-11;52572;5591;-428
6,5;1529;61;2219;93,313708999159;30;-13;58010;5438;-153
7;1512;62;2247;94,4911690496215;28;-2;63189;5179;-259
7,5;1538;58;2265;95,2481076534903;18;-10;68277;5088;-91
8;1494;51;2284;96,0470984020185;19;1;72929;4652;-436
8,5;1484;46;2299;96,6778805719092;15;-4;77415;4486;-166
9;1505;41;2307;97,0142977291842;8;-7;81948;4533;47
9,5;1494;39;2315;97,3507148864592;8;0;86168;4220;-313
10;1479;34;2321;97,6030277544155;6;-2;90172;4004;-216
10,5;1518;36;2326;97,8132884777124;5;-1;94218;4046;42
11;1531;32;2332;98,0656013456686;6;1;98234;4016;-30
11,5;1507;33;2334;98,1497056349874;2;-4;102200;3966;-50
12;1522;33;2340;98,4020185029436;6;4;106063;3863;-103
12,5;1431;29;2341;98,444070647603;1;-5;109599;3536;-327
13;1404;24;2342;98,4861227922624;1;0;112963;3364;-172
13,5;1431;21;2344;98,5702270815812;2;1;116303;3340;-24
14;1420;20;2346;98,6543313708999;2;0;119477;3174;-166
14,5;1437;17;2346;98,6543313708999;0;-2;122793;3316;142
15;1418;19;2347;98,6963835155593;1;1;126101;3308;-8
15,5;1454;20;2347;98,6963835155593;0;-1;129271;3170;-138
16;1462;17;2347;98,6963835155593;0;0;132288;3017;-153
16,5;1482;15;2348;98,7384356602187;1;1;135385;3097;80
17;1510;16;2348;98,7384356602187;0;-1;138529;3144;47
17,5;1546;15;2348;98,7384356602187;0;0;141655;3126;-18
18;1544;18;2348;98,7384356602187;0;0;144915;3260;134
18,5;1528;16;2351;98,8645920941968;3;3;148160;3245;-15
19;1552;19;2351;98,8645920941968;0;-3;151450;3290;45
19,5;1548;23;2352;98,9066442388562;1;1;154748;3298;8
20;1515;20;2355;99,0328006728343;3;2;158135;3387;89
20,5;1552;18;2356;99,0748528174937;1;-2;161516;3381;-6
21;1550;16;2357;99,1169049621531;1;0;164863;3347;-34
21,5;1520;15;2357;99,1169049621531;0;-1;168133;3270;-77
22;1500;16;2357;99,1169049621531;0;0;171299;3166;-104
22,5;1471;17;2358;99,1589571068125;1;1;174435;3136;-30
23;1426;18;2359;99,2010092514718;1;0;177679;3244;108
23,5;1408;17;2359;99,2010092514718;0;-1;180941;3262;18
24;1412;17;2359;99,2010092514718;0;0;184176;3235;-27
24,5;1398;14;2360;99,2430613961312;1;1;187355;3179;-56
25;1387;12;2361;99,2851135407906;1;0;190453;3098;-81
25,5;1396;11;2362;99,32716568545;1;0;193539;3086;-12
26;1400;13;2362;99,32716568545;0;-1;196776;3237;151
26,5;1401;11;2362;99,32716568545;0;0;199989;3213;-24
27;1405;9;2362;99,32716568545;0;0;203209;3220;7
27,5;1398;11;2363;99,3692178301093;1;1;206335;3126;-94
28;1380;12;2363;99,3692178301093;0;-1;209590;3255;129
28,5;1415;13;2365;99,4533221194281;2;2;212798;3208;-47
29;1404;16;2365;99,4533221194281;0;-2;215971;3173;-35
29,5;1389;13;2365;99,4533221194281;0;0;219193;3222;49
30;1393;14;2365;99,4533221194281;0;0;222219;3026;-196
